PATRON SABADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6h floor + 2h AOR/LDOPS por persona. 4 Leads + 9 Managers = 13 personas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manager;11:00-20:00;;;;;;;;;;AOR;AOR;AOR;AOR;Lunch;Lunch;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;;;;;
Manager;13:00-22:00;;;;;;;;;;;;;;AOR;AOR;AOR;AOR;Lunch;Lunch;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;
Manager;13:00-22:00;;;;;;;;;;;;;;AOR;AOR;Lunch;Lunch;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;AOR;AOR;
Manager;13:00-22:00;;;;;;;;;;;;;;Support;AOR;AOR;AOR;Lunch;Lunch;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;Support;AOR;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESUMEN;;07:00;07:30;08:00;08:30;09:00;09:15;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00
LDSup;;0;0;0;1;0;0;2;2;2;1;1;1;1;3;4;4;4;4;4;3;2;2;2;1;1;1;1;1;0;0;0;0
Coach;;0;0;0;0;0;0;2;2;2;2;2;1;1;2;2;3;3;3;3;4;2;2;2;2;2;1;1;1;1;1;1;0
MGR Support;;0;0;0;0;0;0;1;2;2;2;2;0;0;3;2;3;3;4;4;5;4;3;3;3;3;3;3;2;2;1;0;0
AOR;;0;0;2;2;3;0;0;1;1;2;2;1;1;2;3;2;2;0;0;0;3;2;2;1;1;0;0;0;0;1;2;0
LDOPS;;1;1;2;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2;2;0
Lunch;;0;0;0;0;0;0;0;0;0;1;1;5;5;2;2;1;1;2;2;0;0;0;0;1;1;1;1;0;0;0;0;0
DD;;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Support;;0;0;0;1;0;0;3;4;4;3;3;1;1;6;6;7;7;8;8;8;6;5;5;4;4;4;4;3;2;1;0;0
Total Coach;;0;0;0;0;0;0;2;2;2;2;2;1;1;2;2;3;3;3;3;4;2;2;2;2;2;1;1;1;1;1;1;0
Total Floor;;0;0;0;1;0;0;5;6;6;5;5;2;2;8;8;10;10;11;11;12;8;7;7;6;6;5;5;4;3;2;1;0
Mgrs on Floor;;0;0;0;0;0;0;3;4;4;4;4;1;1;5;4;6;6;7;7;9;6;5;5;5;5;4;4;3;3;2;1;0
